departamento;indice
bogota d.c. (ct);26,306
antioquia;9,758
quindio;9,407
valle;8,712
risaralda;7,716
caldas;6,485
cundinamarca;5,946
arauca;4,925
atlantico;4,724
san andres;4,715
tolima;4,421
casanare;4,184
meta;4,184
santander;3,619
huila;3,45
guajira;3,447
putumayo;3,092
boyaca;3,08
cordoba;2,987
cesar;2,783
norte de santander;2,749
bolivar;2,724
sucre;2,598
caqueta;2,126
magdalena;2,102
narino;1,982
choco;1,796
cauca;1,616
guaviare;1,466
vichada;1,364
guainia;0,895
amazonas;0,808
vaupes;0,203